month,day,high_temperature,low_temperature,mean_temperature,rainfall
1,1,21.11111111,2.777777778,12.22222222,2.54
1,2,21.11111111,2.777777778,12.22222222,2.54
1,3,21.11111111,3.333333333,12.22222222,2.54
1,4,21.11111111,3.333333333,12.22222222,2.54
1,5,21.11111111,3.333333333,12.22222222,2.54
1,6,21.11111111,3.333333333,12.22222222,2.54
1,7,21.11111111,3.333333333,12.22222222,2.54
1,8,20.55555556,3.333333333,12.22222222,2.54
1,9,20.55555556,3.333333333,12.22222222,2.54
1,10,20.55555556,3.333333333,12.22222222,2.54
1,11,21.11111111,3.333333333,12.22222222,2.54
1,12,21.11111111,3.888888889,12.22222222,2.54
1,13,21.11111111,3.888888889,12.22222222,2.54
1,14,21.11111111,3.888888889,12.22222222,2.54
1,15,21.11111111,3.888888889,12.22222222,2.54
1,16,21.11111111,3.888888889,12.22222222,2.54
1,17,21.11111111,3.888888889,12.22222222,2.54
1,18,21.11111111,3.888888889,12.22222222,2.54
1,19,21.11111111,3.888888889,12.22222222,2.54
1,20,21.11111111,3.888888889,12.77777778,2.54
1,21,21.11111111,3.888888889,12.77777778,2.54
1,22,21.11111111,3.888888889,12.77777778,2.54
1,23,21.11111111,3.888888889,12.77777778,2.54
1,24,21.11111111,3.888888889,12.77777778,2.54
1,25,21.11111111,4.444444444,12.77777778,2.54
1,26,21.11111111,4.444444444,12.77777778,2.54
1,27,21.11111111,4.444444444,12.77777778,2.54
1,28,21.11111111,4.444444444,12.77777778,2.54
1,29,21.11111111,4.444444444,12.77777778,2.54
1,30,21.11111111,4.444444444,12.77777778,2.54
1,31,21.11111111,4.444444444,12.77777778,2.54
2,1,21.66666667,4.444444444,12.77777778,2.54
2,2,21.66666667,4.444444444,12.77777778,2.54
2,3,21.66666667,4.444444444,13.33333333,2.54
2,4,21.66666667,4.444444444,13.33333333,2.54
2,5,21.66666667,4.444444444,13.33333333,2.54
2,6,21.66666667,4.444444444,13.33333333,2.54
2,7,21.66666667,4.444444444,13.33333333,2.54
2,8,21.66666667,4.444444444,13.33333333,2.54
2,9,21.66666667,4.444444444,13.33333333,2.54
2,10,21.66666667,5,13.33333333,2.54
2,11,21.66666667,5,13.33333333,2.54
2,12,21.66666667,5,13.33333333,2.54
2,13,21.66666667,5,13.33333333,2.54
2,14,21.66666667,5,13.33333333,2.54
2,15,21.66666667,5,13.33333333,2.54
2,16,22.22222222,5,13.33333333,2.54
2,17,22.22222222,5,13.33333333,2.54
2,18,22.22222222,5,13.33333333,2.54
2,19,21.66666667,5,13.33333333,2.54
2,20,21.66666667,5,13.33333333,2.54
2,21,21.66666667,5,13.33333333,2.54
2,22,21.66666667,5,13.33333333,2.54
2,23,21.66666667,5.555555556,13.33333333,2.54
2,24,21.66666667,5.555555556,13.33333333,2.54
2,25,21.66666667,5.555555556,13.33333333,2.54
2,26,21.66666667,5.555555556,13.33333333,2.54
2,27,21.66666667,5.555555556,13.33333333,2.54
2,28,21.66666667,5.555555556,13.33333333,2.54
3,1,21.66666667,5.555555556,13.33333333,2.54
3,2,21.66666667,5.555555556,13.33333333,2.54
3,3,21.66666667,5.555555556,13.33333333,2.54
3,4,21.66666667,5.555555556,13.33333333,2.54
3,5,21.66666667,5.555555556,13.88888889,2.54
3,6,21.66666667,5.555555556,13.88888889,2.54
3,7,21.66666667,5.555555556,13.88888889,2.54
3,8,21.66666667,6.111111111,13.88888889,2.54
3,9,21.66666667,6.111111111,13.88888889,2.54
3,10,21.66666667,6.111111111,13.88888889,2.54
3,11,21.66666667,6.111111111,13.88888889,2.54
3,12,21.66666667,6.111111111,13.88888889,2.54
3,13,21.66666667,6.111111111,13.88888889,2.54
3,14,21.66666667,6.111111111,13.88888889,2.54
3,15,21.66666667,6.111111111,13.88888889,2.54
3,16,21.66666667,6.111111111,13.88888889,2.54
3,17,21.66666667,6.111111111,13.88888889,2.54
3,18,21.66666667,6.111111111,13.88888889,2.54
3,19,21.66666667,6.111111111,13.88888889,2.54
3,20,21.66666667,6.111111111,13.88888889,2.54
3,21,22.22222222,6.111111111,14.44444444,2.54
3,22,22.22222222,6.666666667,14.44444444,2.54
3,23,22.22222222,6.666666667,14.44444444,2.54
3,24,22.22222222,6.666666667,14.44444444,2.54
3,25,22.22222222,6.666666667,14.44444444,2.54
3,26,22.22222222,6.666666667,14.44444444,2.54
3,27,22.77777778,6.666666667,14.44444444,2.54
3,28,22.77777778,6.666666667,14.44444444,2.54
3,29,22.77777778,6.666666667,14.44444444,2.54
3,30,22.77777778,6.666666667,15,2.54
3,31,22.77777778,6.666666667,15,2.54
4,1,23.33333333,6.666666667,15,0.762
4,2,23.33333333,6.666666667,15,0.762
4,3,23.33333333,6.666666667,15,0.762
4,4,23.33333333,6.666666667,15,0.762
4,5,23.33333333,6.666666667,15,0.762
4,6,23.88888889,6.666666667,15,0.762
4,7,23.88888889,6.666666667,15.55555556,0.762
4,8,23.88888889,6.666666667,15.55555556,0.762
4,9,23.88888889,7.222222222,15.55555556,0.762
4,10,23.88888889,7.222222222,15.55555556,0.762
4,11,23.88888889,7.222222222,15.55555556,0.762
4,12,24.44444444,7.222222222,15.55555556,0.762
4,13,24.44444444,7.222222222,15.55555556,0.762
4,14,24.44444444,7.222222222,16.11111111,0.762
4,15,24.44444444,7.222222222,16.11111111,0.762
4,16,24.44444444,7.222222222,16.11111111,0.762
4,17,24.44444444,7.777777778,16.11111111,0.762
4,18,24.44444444,7.777777778,16.11111111,0.762
4,19,24.44444444,7.777777778,16.11111111,0.762
4,20,24.44444444,7.777777778,16.11111111,0.762
